un,Rk,PLAYER,POSITION,AGE,MP
178,306,Anthony Morrow,SG,31,14.6
177,303,Delon Wright,PG,24,16.5
176,302,Georgios Papagiannis,C,19,16.1
175,301,Ian Mahinmi,C,30,17.9
174,292,Quincy Acy,PF,26,14.7
173,291,Domantas Sabonis,PF,20,20.1
172,290,Andrew Harrison,PG,22,20.5
171,289,Jerian Grant,PG,24,16.3
170,280,JaVale McGee,C,29,9.6
17,22,Carmelo Anthony,SF,32,34.3
169,278,Troy Williams,SF,22,18.6
168,275,Chandler Parsons,SF,28,19.9
167,273,Trey Lyles,PF,21,16.3
166,272,Spencer Hawes,PF,28,14.8
165,270,Dante Exum,PG,21,18.6
164,267,Kyle O'Quinn,C,26,15.6
163,260,Amir Johnson,PF,29,20.1
162,259,Sam Dekker,SF,22,18.4
161,257,Andre Roberson,SF,25,30.1
160,256,Kosta Koufos,C,27,20
16,19,John Wall,PG,26,36.4
159,255,Dante Cunningham,SF,29,25
158,254,Michael Carter-Williams,PG,25,18.8
157,253,Jaylen Brown,SF,20,17.2
156,251,Dwight Powell,C,25,17.3
155,247,Alec Burks,SG,25,15.5
154,246,Brandan Wright,PF,29,16
153,244,Bobby Portis,PF,21,15.6
152,244,Bobby Portis,PF,21,15.6
151,243,Patrick Patterson,PF,27,24.6
150,241,Jared Dudley,PF,31,21.3
15,18,Bradley Beal,SG,23,34.9
149,232,Joe Ingles,SF,29,24
148,229,Justin Anderson,SF,23,16.4
147,227,Thabo Sefolosha,SF,32,25.7
146,225,David Lee,PF,33,18.7
145,224,Danny Green,SG,29,26.6
144,216,Manu Ginobili,SG,39,18.7
143,215,Andre Iguodala,SF,33,26.3
142,214,Luol Deng,SF,31,26.5
141,213,Matthew Dellavedova,PG,26,26.1
140,211,Garrett Temple,SG,30,26.6
14,17,Kemba Walker,PG,26,34.7
139,210,Rajon Rondo,PG,30,26.7
138,208,Shelvin Mack,PG,26,21.9
137,207,Langston Galloway,PG,25,20.2
136,205,Alex Len,C,23,20.3
135,204,Vince Carter,SF,40,24.6
134,203,Tristan Thompson,C,25,29.9
133,202,Ben McLemore,SG,23,19.3
132,200,Willie Cauley-Stein,C,23,18.9
131,198,Caris LeVert,SF,22,21.7
130,197,Willy Hernangomez,C,22,18.4
13,16,Andrew Wiggins,SF,21,37.2
129,195,Troy Daniels,SG,25,17.7
128,193,Tyson Chandler,C,34,27.6
127,188,Marreese Speights,C,29,15.7
126,187,Nerlens Noel,C,22,20.5
125,185,Al-Farouq Aminu,SF,26,29.1
124,182,DeMarre Carroll,SF,30,26.1
123,181,Evan Turner,SF,28,25.5
122,180,Kelly Olynyk,C,25,20.5
121,177,Jodie Meeks,SG,29,20.5
120,174,Channing Frye,C,33,18.9
12,15,Paul George,SF,26,35.9
119,173,Tony Allen,SG,35,27
118,172,Jameer Nelson,PG,34,27.3
117,171,Michael Kidd-Gilchrist,SF,23,29
116,169,Gerald Henderson,SG,29,23.2
115,168,Jeff Green,PF,30,22.2
114,167,Marquese Chriss,PF,19,21.3
113,166,Cory Joseph,PG,25,25
112,164,Brandon Ingram,SF,19,28.8
111,163,Michael Beasley,PF,28,16.7
110,162,Nik Stauskas,SG,23,27.4
11,14,Jimmy Butler,SF,27,37
109,161,Patty Mills,PG,28,21.9
108,160,Derrick Favors,PF,25,23.7
107,158,E'Twaun Moore,SG,27,24.9
106,157,Kenneth Faried,PF,27,21.2
105,154,Jamal Murray,SG,19,21.5
104,151,Maurice Harkless,SF,23,28.9
103,148,Trevor Booker,PF,29,24.7
102,146,Kyle Korver,SG,35,26.2
101,145,Josh Richardson,SG,23,30.5
100,144,Jusuf Nurkic,C,22,21.4
10,13,Karl-Anthony Towns,C,21,37
1,2,James Harden,PG,27,36.4
